transaction_id,customer_id,amount,transaction_type,country,hour,is_fraud
TX_000000,CUST_0052,0.94,wire,PL,14,0
TX_000001,CUST_0093,98.23,card,DE,15,0
TX_000002,CUST_0015,14.75,card,NG,1,0
TX_000003,CUST_0072,91.29,card,PL,17,0
TX_000004,CUST_0061,100.03,wire,PL,11,0
TX_000005,CUST_0021,245.24,wire,PL,15,0
TX_000006,CUST_0083,257.36,wire,RU,12,0
TX_000007,CUST_0087,1036.78,wire,PL,19,0
TX_000008,CUST_0075,356.79,crypto,RU,16,0
TX_000009,CUST_0075,642.6,wire,PL,17,0
TX_000010,CUST_0088,54.98,wire,PL,2,0
TX_000011,CUST_0100,127.73,card,US,22,0
TX_000012,CUST_0024,606.92,wire,PL,9,0
TX_000013,CUST_0003,27.12,card,NG,0,0
TX_000014,CUST_0022,333.35,crypto,PL,5,0
TX_000015,CUST_0053,457.36,wire,DE,2,0
TX_000016,CUST_0002,460.83,cash,PL,18,0
TX_000017,CUST_0088,11.6,card,PL,3,0
TX_000018,CUST_0030,194.38,wire,NG,19,0
TX_000019,CUST_0038,505.98,wire,GB,22,0
TX_000020,CUST_0002,80.67,wire,PL,2,0
TX_000021,CUST_0064,594.4,card,DE,7,0
TX_000022,CUST_0060,685.06,card,RU,7,0
TX_000023,CUST_0021,2007.84,crypto,PL,6,0
TX_000024,CUST_0033,117.76,cash,PL,1,0
TX_000025,CUST_0076,871.86,card,GB,20,0
TX_000026,CUST_0058,367.29,card,NG,5,0
TX_000027,CUST_0022,233.77,wire,NG,15,0
TX_000028,CUST_0089,65.27,card,US,9,0
TX_000029,CUST_0049,664.97,wire,UA,3,0
TX_000030,CUST_0091,134.5,card,PL,12,0
TX_000031,CUST_0059,232.15,wire,PL,9,0
TX_000032,CUST_0042,32.29,wire,PL,20,0
TX_000033,CUST_0092,808.15,wire,UA,13,0
TX_000034,CUST_0060,727.48,wire,US,8,0
TX_000035,CUST_0080,661.41,card,GB,10,0
TX_000036,CUST_0015,177.94,wire,GB,22,0
TX_000037,CUST_0062,1905.3999999999999,card,NG,17,1
TX_000038,CUST_0062,10148.8,wire,RU,10,1
TX_000039,CUST_0047,342.75,card,PL,16,0
TX_000040,CUST_0062,98.16,wire,US,1,0
TX_000041,CUST_0051,579.04,wire,DE,2,0
TX_000042,CUST_0055,2362.34,card,PL,10,0
TX_000043,CUST_0064,687.62,wire,NG,17,0
TX_000044,CUST_0003,673.51,wire,GB,2,0
TX_000045,CUST_0051,1501.0,wire,PL,14,0
TX_000046,CUST_0007,113.41,wire,PL,10,0
TX_000047,CUST_0021,416.84,card,UA,10,0
TX_000048,CUST_0073,1947.26,wire,RU,19,0
TX_000049,CUST_0039,90.34,card,GB,10,0
TX_000050,CUST_0018,602.41,crypto,PL,18,0
TX_000051,CUST_0004,440.72,wire,PL,0,0
TX_000052,CUST_0089,441.52,cash,PL,4,0
TX_000053,CUST_0060,598.12,card,PL,9,0
TX_000054,CUST_0014,1326.9,card,PL,9,0
TX_000055,CUST_0009,762.97,card,GB,13,0
TX_000056,CUST_0090,577.8,card,RU,1,1
TX_000057,CUST_0053,957.74,card,DE,3,0
TX_000058,CUST_0002,127.8,wire,PL,1,0
TX_000059,CUST_0084,236.54,wire,PL,17,0
TX_000060,CUST_0092,309.7,wire,GB,12,0
TX_000061,CUST_0060,327.84,wire,RU,18,0
TX_000062,CUST_0071,285.62,wire,US,4,0
TX_000063,CUST_0044,1385.12,wire,DE,19,0
TX_000064,CUST_0008,612.12,wire,PL,1,0
TX_000065,CUST_0047,498.71,card,DE,10,0
TX_000066,CUST_0035,25.56,crypto,PL,17,0
TX_000067,CUST_0078,1171.25,cash,GB,5,0
TX_000068,CUST_0081,1200.6,wire,PL,22,0
TX_000069,CUST_0036,15151.0,card,UA,9,1
TX_000070,CUST_0050,3.53,crypto,PL,21,0
TX_000071,CUST_0004,29.49,wire,UA,22,0
TX_000072,CUST_0002,127.59,wire,GB,16,0
TX_000073,CUST_0006,70.41,cash,RU,21,0
TX_000074,CUST_0054,254.44,card,DE,10,0
TX_000075,CUST_0004,1279.53,wire,NG,18,0
TX_000076,CUST_0054,319.39,wire,RU,16,0
TX_000077,CUST_0093,6.75,wire,PL,23,0
TX_000078,CUST_0063,166.16,crypto,PL,3,0
TX_000079,CUST_0018,22.81,card,US,23,0
TX_000080,CUST_0090,18.48,wire,US,13,0
TX_000081,CUST_0044,161.29,wire,PL,19,0
TX_000082,CUST_0034,161.21,card,PL,3,0
TX_000083,CUST_0074,773.53,card,NG,13,0
TX_000084,CUST_0062,1841.14,wire,PL,3,0
TX_000085,CUST_0100,231.98,crypto,DE,5,0
TX_000086,CUST_0014,280.08,wire,PL,8,0
TX_000087,CUST_0095,931.49,wire,GB,20,0
TX_000088,CUST_0048,156.08,card,PL,11,0
TX_000089,CUST_0015,85.03,wire,UA,7,0
TX_000090,CUST_0072,958.97,crypto,PL,23,0
TX_000091,CUST_0078,23.81,card,UA,3,0
TX_000092,CUST_0087,483.4,card,GB,4,0
TX_000093,CUST_0062,412.76,wire,PL,5,0
TX_000094,CUST_0040,212.26,wire,DE,4,0
TX_000095,CUST_0085,189.31,wire,DE,18,0
TX_000096,CUST_0080,738.89,card,PL,7,0
TX_000097,CUST_0082,45.19,card,GB,8,0
TX_000098,CUST_0053,135.11,crypto,PL,14,0
TX_000099,CUST_0024,659.22,card,US,3,0
TX_000100,CUST_0026,397.39,cash,PL,8,0
TX_000101,CUST_0089,68.48,card,PL,6,0
TX_000102,CUST_0060,1069.11,wire,PL,7,0
TX_000103,CUST_0041,249.98,wire,DE,14,0
TX_000104,CUST_0029,879.75,card,DE,18,0
TX_000105,CUST_0015,774.91,wire,US,14,0
TX_000106,CUST_0045,489.65,wire,PL,4,0
TX_000107,CUST_0065,341.08,card,PL,18,0
TX_000108,CUST_0089,1944.91,crypto,US,6,0
TX_000109,CUST_0071,78.31,wire,GB,5,0
TX_000110,CUST_0009,645.78,card,PL,18,0
TX_000111,CUST_0088,106.1,crypto,RU,16,0
TX_000112,CUST_0001,206.44,wire,PL,9,0
TX_000113,CUST_0008,184.59,wire,US,18,0
TX_000114,CUST_0088,1469.07,wire,GB,10,0
TX_000115,CUST_0063,1711.05,card,GB,14,0
TX_000116,CUST_0011,101.07,card,US,9,0
TX_000117,CUST_0081,11.14,crypto,PL,10,0
TX_000118,CUST_0008,636.5,card,GB,22,0
TX_000119,CUST_0035,270.63,wire,DE,2,0
TX_000120,CUST_0035,46.52,wire,PL,2,0
TX_000121,CUST_0033,575.62,card,DE,17,0
TX_000122,CUST_0005,393.84,wire,GB,10,0
TX_000123,CUST_0041,1969.1,wire,GB,19,0
TX_000124,CUST_0028,129.0,wire,PL,21,0
TX_000125,CUST_0007,258.74,wire,US,17,0
TX_000126,CUST_0073,391.04,wire,GB,14,0
TX_000127,CUST_0072,784.39,wire,PL,6,0
TX_000128,CUST_0012,397.97,wire,DE,9,0
TX_000129,CUST_0034,474.54,wire,US,20,0
TX_000130,CUST_0033,128.19,card,DE,22,0
TX_000131,CUST_0048,938.39,crypto,PL,19,0
TX_000132,CUST_0023,279.86,wire,US,9,0
TX_000133,CUST_0062,75.97,card,GB,12,0
TX_000134,CUST_0088,545.6,wire,UA,14,0
TX_000135,CUST_0037,121.73,card,US,22,0
TX_000136,CUST_0099,51.33,crypto,PL,17,0
TX_000137,CUST_0044,990.2,card,PL,22,0
TX_000138,CUST_0086,308.24,crypto,RU,3,0
TX_000139,CUST_0091,691.72,wire,PL,19,0
TX_000140,CUST_0035,171.66,wire,GB,16,0
TX_000141,CUST_0065,773.16,crypto,PL,2,0
TX_000142,CUST_0099,59.36,wire,DE,20,0
TX_000143,CUST_0047,220.01,wire,PL,20,0
TX_000144,CUST_0078,1909.76,card,GB,1,0
TX_000145,CUST_0003,789.91,crypto,PL,3,0
TX_000146,CUST_0001,343.84,crypto,PL,0,0
TX_000147,CUST_0005,4151.8,wire,UA,14,1
TX_000148,CUST_0090,1028.39,crypto,GB,0,0
TX_000149,CUST_0014,393.56,wire,PL,5,0
TX_000150,CUST_0027,710.29,wire,PL,6,0
TX_000151,CUST_0009,701.43,card,PL,18,0
TX_000152,CUST_0079,9.05,wire,US,11,0
TX_000153,CUST_0015,67.48,wire,PL,0,0
TX_000154,CUST_0090,538.86,card,PL,6,0
TX_000155,CUST_0042,88.14,wire,PL,18,0
TX_000156,CUST_0077,147.52,wire,DE,12,0
TX_000157,CUST_0051,1465.33,wire,US,11,0
TX_000158,CUST_0063,8214.0,wire,RU,11,1
TX_000159,CUST_0096,694.61,wire,GB,21,0
TX_000160,CUST_0052,408.2,card,NG,12,0
TX_000161,CUST_0096,402.05,card,PL,13,0
TX_000162,CUST_0004,49.44,wire,US,21,0
TX_000163,CUST_0094,210.54,crypto,US,11,0
TX_000164,CUST_0023,165.94,wire,GB,19,0
TX_000165,CUST_0015,247.75,wire,DE,11,0
TX_000166,CUST_0043,800.6,crypto,DE,5,0
TX_000167,CUST_0029,232.55,wire,DE,9,0
